,Python_Score,ML_Score,NLP_Score,DL_Score,Num_of_Skills,PG_Score,UG_Score,12_Score,10_Score,availability,score
305,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.20634920634920634,0.0,0.8310000000000001,1.0,1.0,1,0.5600841269841269
840,1.0,1.0,0.6666666666666666,1.0,0.25396825396825395,0.0,0.8029999999999999,0.0,0.0,1,0.5596650793650794
631,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.14285714285714285,0.0,0.85,1.0,0.0,1,0.5588095238095238
1045,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.2222222222222222,0.0,0.807,1.0,1.0,1,0.5584777777777777
567,1.0,0.0,0.6666666666666666,0.0,0.1111111111111111,0.86,0.0,1.0,1.0,1,0.5582222222222222
805,1.0,0.6666666666666666,0.0,0.0,0.1746031746031746,0.0,0.82,1.0,1.0,1,0.5573968253968253
1055,0.6666666666666666,1.0,0.0,0.0,0.14285714285714285,0.0,0.834,1.0,1.0,1,0.5572095238095238
23,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.47619047619047616,0.0,0.0,1.0,1.0,1,0.557142857142857
897,1.0,0.6666666666666666,0.0,0.0,0.20634920634920634,0.0,0.8,1.0,1.0,1,0.5569841269841269
560,1.0,0.6666666666666666,0.0,0.0,0.20634920634920634,0.0,0.7979999999999999,1.0,1.0,1,0.5567841269841269
635,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.1746031746031746,0.0,0.8089999999999999,0.0,1.0,1,0.5562968253968253
270,1.0,0.6666666666666666,0.0,0.0,0.15873015873015872,0.0,0.8160000000000001,1.0,1.0,1,0.5562031746031746
330,1.0,0.0,0.0,0.6666666666666666,0.07936507936507936,0.0,0.8539999999999999,1.0,1.0,1,0.5560349206349205
167,0.6666666666666666,0.6666666666666666,0.0,1.0,0.42857142857142855,0.0,0.0,1.0,1.0,1,0.5547619047619047
509,1.0,0.6666666666666666,0.0,0.0,0.07936507936507936,0.0,0.8400000000000001,1.0,1.0,1,0.5546349206349206
11,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.1746031746031746,0.0,0.7849999999999999,1.0,1.0,1,0.5538968253968254
507,1.0,0.6666666666666666,0.0,0.0,0.07936507936507936,0.0,0.8099999999999999,1.0,1.0,1,0.5516349206349206
466,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.09523809523809523,0.0,0.8,1.0,1.0,1,0.5514285714285714
618,1.0,1.0,0.6666666666666666,1.0,0.19047619047619047,0.0,0.752,0.0,0.0,1,0.5513904761904762
325,1.0,0.6666666666666666,0.0,1.0,0.2857142857142857,0.0,0.7,1.0,0.0,1,0.550952380952381
1024,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3492063492063492,0.0,0.0,1.0,1.0,1,0.5507936507936507
25,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.15873015873015872,0.755,0.0,1.0,1.0,1,0.5501031746031746
159,1.0,1.0,0.6666666666666666,1.0,0.1111111111111111,0.0,0.762,0.0,0.0,1,0.5484222222222223
10,0.6666666666666666,0.0,0.0,0.0,0.09523809523809523,0.93125,0.8365,1.0,1.0,1,0.5482035714285715
3,1.0,0.6666666666666666,0.6666666666666666,0.0,0.2857142857142857,0.0,0.0,1.0,1.0,1,0.5476190476190476
584,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.2857142857142857,0.0,0.0,1.0,1.0,1,0.5476190476190476
434,0.6666666666666666,0.0,0.0,0.0,0.09523809523809523,0.899,0.857,1.0,1.0,1,0.5470285714285714
243,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.1111111111111111,0.073,0.0,1.0,1.0,1,0.5461888888888888
859,0.6666666666666666,0.6666666666666666,0.0,0.0,0.5555555555555556,0.0,0.845,1.0,1.0,1,0.545611111111111
